Reported Gross Floor Area (Sq Ft),Site EUI (Energy Use Intensity kBtu/ft2),Total Site Energy Usage (kBtu),Estimated Total GHG Emissions (kgCO2e),Cluster
32267.765136884635,30.52217842201572,984877.0742397093,58001.21460272007,0
122823.60732485891,71.53639280884883,8786363.163010994,494614.90301578963,1
25977.582755260504,91.42265654106181,2374958.259748324,134150.63263774422,2
57297.76538818329,42.40630277121063,2429838.501480061,138222.37361919167,3
149112.58411467564,38.4484725845194,5732755.674330896,328565.60336937656,4
54742.22849409686,72.98988312013583,3995816.3571300516,225260.1583919829,5
316653.02135913953,49.11393887242331,15556080.404400334,888021.9703680368,6
28255.841300902117,58.95653977139728,1665728.556418729,93458.23851573505,7
