Reported Gross Floor Area (Sq Ft),Site EUI (Energy Use Intensity kBtu/ft2),Total Site Energy Usage (kBtu),Estimated Total GHG Emissions (kgCO2e),Cluster
30921.599495059134,33.86831255288797,1047251.3758559691,60946.92826490521,0
293839.58931505884,51.74641215009387,15208977.75574108,865750.0347183121,1
55474.2376451519,77.21651097071414,4283774.783453254,242162.71752080478,2
26553.964932813666,77.19317962992002,2049665.535588534,115231.16472403685,3
139615.6613335959,49.01997416508906,6843484.96811627,388685.6511672452,4
53223.24268008349,44.51168823235891,2369110.316238088,134603.39104205693,5
