_id,BERDO ID,Tax Parcel ID,Property Owner Name,Building Address,Geospatial Address,Geospatial Address,Building Address City,Building Address Zip  Code,Parcel Address,Parcel Address City,Parcel Address Zip Code,Reported Gross Floor Area (Sq Ft),Reported Enclosed Parking Area (Sq Ft),Largest Property Type,All Property Types and GFAs,Site EUI (Energy Use Intensity kBtu/ft2),Energy Star Score,Total Site Energy Usage (kBtu),Natural Gas Usage (kBtu),Natural Gas Emissions (kgCO2e),Electricity Usage (kWh),Electricity Emissions (kgCO2e),Renewable System Electricity Usage Onsite (kBtu),District Hot Water Usage (kBtu),District Hot Water Emissions (kgCO2e),District Chilled Water Usage (kBtu),District Chilled Water Emissions (kgCO2e),District Steam Usage (kBtu),District Steam Emissions (kgCO2e),Fuel Oil 1 Usage (kBtu),Fuel Oil 1 Emissions (kgCO2e),Fuel Oil 2 Usage (kBtu),Fuel Oil 2 Emissions (kgCO2e),Fuel Oil 4 Usage (kBtu),Fuel Oil 4 Emissions (kgCO2e),Fuel Oil 5 and 6 Usage (kBtu),Fuel Oil 5 and 6 Emissions (kgCO2e),Propane Usage (kBtu),Propane Emissions (kgCO2e),Diesel Usage (kBtu),Diesel Emissions (kgCO2e),Kerosene Usage (kBtu),Kerosene Emissions (kgCO2e),Water Usage Intensity (Gallons/ft2),Compliance Status,Estimated Total GHG Emissions (kgCO2e),First Emissions Compliance Year (Projected),Community Choice Electricity Participation,Renewable Energy Purchased through a Power Purchase Agreement (,Renewable Energy Certificate (REC) Purchase,Backup Generator,Battery Storage,Electric Vehicle (EV) Charging,Corresponding Campus ID,Notes
1892,102815,304909000,emerson college,216-218 tremont st,216-218 tremont st,,boston,2116,216  218 tremont st,boston,2116,45388,,College/University,College/University (45388.0),71.2,,3229916,,,510635.5,104751.766,,,,,,1487627.7,82117.049,,,,,,,,,,,,,,,6.49,in compliance,186868.815,2025,No,No,No,No,No,No,C10024,
4300,106340,305081000,tufts college trsts of,200 harrison ave,200 harrison ave,,boston,2111,200 harrison av,boston,2111,68316,,College/University,College/University (68316.0),66,,4511012.2,3483270,184996.47,301214,61791.04,,,,,,,,,,,,,,,,,,,,,,26.48,in compliance,246787.51,2025,No,No,No,No,No,No,,
4244,106280,305371000,,145 harrison ave,145 harrison ave,,boston,2111,141  147 harrison av,boston,2111,133332,,College/University,College/University (133332.0),86.8,,11569967,,,647423,132812.354,,,,,,9360959.8,621567.731,,,,,,,,,,,,,,,9.5,in compliance,754380.085,2025,No,No,No,No,No,No,,
444,100635,401312000,berklee college of music inc,160-166 massachusetts ave,160-166 massachusetts ave,,boston,2115,154  162 massachusetts av,boston,2115,161936,,College/University,College/University (161936.0),138.4,,22417826.2,13586741.4,721591.836,2588243,530952.169,,,,,,,,,,,,,,,,,,,,,,47.97,in compliance,1252544.005,2025,No,No,No,No,No,No,,
445,100636,401365000,berklee college of music inc,130-134 massachusetts ave,130-134 massachusetts ave,,boston,2115,134  130 massachusetts av,boston,2115,22329,,College/University,College/University (22329.0),32.7,,730784.3,,,214180.6,43937.008,,,,,,,,,,,,,,,,,,,,,,6.61,in compliance,43937.008,2030,No,No,No,No,No,No,,
446,100637,401372001,,150 massachusetts avenue,150 massachusetts avenue,,boston,2115,,,,247500,,College/University,College/University (247500.0),86.8,,21486459.4,11274357.3,598781.116,2992996,613983.199,,,,,,,,,,,,,,,,,,,,,,30.82,in compliance,1212764.315,2025,No,No,No,No,No,No,,
5424,107962,401383000,,12 hemenway st,12 hemenway st,,boston,2115,,,,29650,,College/University,College/University (29650.0),18.2,,538667.6,,,157874.4,32386.354,,,,,,,,,,,,,,,,,,,,,,21.65,in compliance,32386.354,2030,No,No,No,No,No,No,,
441,100630,401413000,berklee college of music,153-157a massachusetts ave,153-157a massachusetts ave,,boston,2115,153 157a massachusetts av,boston,2115,28865,,College/University,College/University (28865.0),121.4,,3503074.7,1310741.2,69613.465,642536.2,131809.876,,,,,,,,,,,,,,,,,,,,,,25.7,in compliance,201423.341,2030,No,No,No,No,No,No,,
447,100639,401414000,berklee college of music inc,159a-165 massachusetts ave,159a-165 massachusetts ave,,boston,2115,159 a165 massachusetts av,boston,2115,30283,,College/University,College/University (30283.0),38.6,,1168505,128871,6844.339,304699.3,62506.014,,,,,,,,,,,,,,,,,,,,,,10.1,in compliance,69350.353,2030,No,No,No,No,No,No,,
442,100631,401415000,berklee college of music,167-171 massachusetts ave,167-171 massachusetts ave,,boston,2115,167 massachusetts av,boston,2115,21539,,College/University,College/University (21539.0),10.5,,226683.6,76155,4044.592,44117.4,9050.243,,,,,,,,,,,,,,,,,,,,,,6.03,in compliance,13094.835,2030,No,No,No,No,No,No,,
451,100643,401557000,berklee school of music inc,98 hemenway st,98 hemenway st,,boston,2115,98 hemenway st,boston,2115,34998,,College/University,College/University (34998.0),16,,561381.9,,,164531.6,33752.012,,,,,,,,,,0,,,,,,,,,,,,46.55,in compliance,33752.012,2030,No,No,No,No,No,No,,
450,100642,401755000,berklee school of music,1140 boylston st,1140 boylston st,,boston,2215,1136  1138 boylston st,boston,2215,75457,,College/University,College/University (75457.0),65.9,,4970915.1,2173622.9,115441.112,819839.5,168181.875,,,,,,,,,,,,,,,,,,,,,,6.23,in compliance,283622.987,2025,No,No,No,No,No,No,,
526,100760,401763000,boston conservatory rlty cp,31 hemenway st,31 hemenway st,,boston,2115,31 hemenway st,boston,2115,38783,,College/University,College/University (38783.0),95.6,,3705790.5,1042713,55378.487,780503.4,160112.467,,,,,,,,,,,,,,,,,,,,,,5.63,in compliance,215490.954,2025,No,No,No,No,No,No,,
448,100640,401795000,berklee college of music inc,8 fenway,8 fenway,,boston,2215,8 fenway st,boston,2215,46142,,College/University,College/University (46142.0),57.4,,2648021.3,2247160.8,119346.71,117485.5,24100.975,,,,,,,,,,,,,,,,,,,,,,5.72,in compliance,143447.685,2025,No,No,No,No,No,No,,
3854,105779,401842000,simmons university,300 fenway,300 fenway,,boston,2115,300 fenway st,boston,2115,198500,,College/University,College/University (198500.0),Not Available,,Not Available,,,,0,,,,,,,,,,,,,,,,,,,,,,6.99,in compliance,,2025,No,No,No,No,No,No,C10064,
3855,105780,401842000,simmons university,1 palace rd,1 palace rd,,boston,2115,300 fenway st,boston,2115,60000,,College/University,College/University (60000.0),Not Available,,Not Available,,,,0,,,,,,,,,,,,,,,,,,,,,,5.51,in compliance,,2025,No,No,No,No,No,No,C10064,
3856,105781,401842000,simmons university,2 avenue louis pasteur,2 avenue louis pasteur,,boston,2115,300 fenway st,boston,2115,121000,,College/University,College/University (121000.0),Not Available,,Not Available,,,,0,,,,,,,,,,,,,,,,,,,,,,11.46,in compliance,,2025,No,No,No,No,No,No,C10064,
