_id,BERDO ID,Tax Parcel ID,Property Owner Name,Building Address,Geospatial Address,Geospatial Address,Building Address City,Building Address Zip  Code,Parcel Address,Parcel Address City,Parcel Address Zip Code,Reported Gross Floor Area (Sq Ft),Reported Enclosed Parking Area (Sq Ft),Largest Property Type,All Property Types and GFAs,Site EUI (Energy Use Intensity kBtu/ft2),Energy Star Score,Total Site Energy Usage (kBtu),Natural Gas Usage (kBtu),Natural Gas Emissions (kgCO2e),Electricity Usage (kWh),Electricity Emissions (kgCO2e),Renewable System Electricity Usage Onsite (kBtu),District Hot Water Usage (kBtu),District Hot Water Emissions (kgCO2e),District Chilled Water Usage (kBtu),District Chilled Water Emissions (kgCO2e),District Steam Usage (kBtu),District Steam Emissions (kgCO2e),Fuel Oil 1 Usage (kBtu),Fuel Oil 1 Emissions (kgCO2e),Fuel Oil 2 Usage (kBtu),Fuel Oil 2 Emissions (kgCO2e),Fuel Oil 4 Usage (kBtu),Fuel Oil 4 Emissions (kgCO2e),Fuel Oil 5 and 6 Usage (kBtu),Fuel Oil 5 and 6 Emissions (kgCO2e),Propane Usage (kBtu),Propane Emissions (kgCO2e),Diesel Usage (kBtu),Diesel Emissions (kgCO2e),Kerosene Usage (kBtu),Kerosene Emissions (kgCO2e),Water Usage Intensity (Gallons/ft2),Compliance Status,Estimated Total GHG Emissions (kgCO2e),First Emissions Compliance Year (Projected),Community Choice Electricity Participation,Renewable Energy Purchased through a Power Purchase Agreement (,Renewable Energy Certificate (REC) Purchase,Backup Generator,Battery Storage,Electric Vehicle (EV) Charging,Corresponding Campus ID,Notes
1322,101919,600312000,city of boston,210 d st,210 d st,,boston,2127,210  200 d st,boston,2127,140426,,K-12 School,"K-12 School (140426.0),Swimming Pool (0.0)",76.7,33,10770874.2,6524540.2,346518.33,1244529,255302.679,,,,,,,,,,,,,,,,,,,,,,11.93,in compliance,601821.009,2025,No,No,No,No,No,No,,
1325,101923,602270000,city of boston,650 e fourth st,650 e fourth st,,boston,2127,646  628 e fourth st,boston,2127,120000,,K-12 School,K-12 School (120000.0),58.7,69,7047800.8,5704786.4,302981.206,393615,80746.181,,,,,,,,,,,,,,,,,,,,,,7.16,in compliance,383727.387,2025,No,No,No,No,No,No,,
3645,105401,603645000,,866 e broadway,866 e broadway,,boston,2127,e broadway,boston,2127,31833,,K-12 School,K-12 School (31833.0),45.4,98,1444586.9,1283021.2,68141.256,47352.2,9713.83,,,,,,,,,,,,,,,,,,,,,,9.34,in compliance,77855.086,2025,I'm not sure,No,No,No,I'm not sure,I'm not sure,,
1326,101924,700540000,city of boston,50 rev richard a burke st,50 rev richard a burke st,,boston,2127,50 rev richard a burke,boston,2127,28407,,K-12 School,K-12 School (28407.0),68.2,55,1936203,1557545.9,82721.263,110978,22766.027,,,,,,,,,,,,,,,,,,,,,,6.65,in compliance,105487.29,2030,No,No,No,No,No,No,,
1327,101925,700774000,city of boston,215 dorchester st,215 dorchester st,,boston,2127,f st,boston,2127,107077,,K-12 School,K-12 School (107077.0),45.5,85,4871265.3,3854427.4,204708.639,298018.1,61135.433,,,,,,,,,,,,,,,,,,,,,,3.67,in compliance,265844.072,2025,No,No,No,No,No,No,,
1328,101926,701079000,city of boston,95 g st,95 g st,,boston,2127,95 g st,boston,2127,159320,,K-12 School,K-12 School (159320.0),85.9,39,13683663.4,11694751.5,621108.252,582916.7,119579.532,,,,,,,,,,,,,,,,,,,,,,5.1,in compliance,740687.784,2025,No,No,No,No,No,No,,
1329,101927,702684000,city of boston,745 e seventh st,745 e seventh st,,boston,2127,e seventh st,boston,2127,37726,,K-12 School,K-12 School (37726.0),64.9,66,2447294.5,2080317.9,110485.684,107554.7,22063.771,,,,,,,,,,,,,,,,,,,,,,10.43,in compliance,132549.455,2025,No,No,No,No,No,No,,
1330,101928,702963000,city of boston,750 columbia rd,750 columbia rd,,boston,2125,750 columbia rd,boston,2125,53585,,K-12 School,K-12 School (53585.0),69.4,59,3720319.2,3170134.3,168365.833,161250,33078.825,,,,,,,,,,,,,,,,,,,,,,7.65,in compliance,201444.658,2025,No,No,No,No,No,No,,
524,100757,702972010,boston collegiate charter,11 mayhew st,11 mayhew st,,boston,2125,11 mayhew st,boston,2125,67800,,K-12 School,K-12 School (67800.0),63.6,23,4309405.2,1465813.6,77849.36,833409,170965.522,,,,,,,,,,,,,,,,,,,,,,5.36,in compliance,248814.882,2025,No,No,No,No,No,No,,
3650,105406,703079000,roman cath arch of bostn,790 columbia rd,790 columbia rd,,boston,2125,796 columbia rd,boston,2125,43808,,K-12 School,K-12 School (43808.0),67.5,51,2956211.4,1862053.5,98893.661,320679.3,65784.152,,,,,,,,,,,,,,,,,,,,,,11.29,in compliance,164677.813,2025,No,No,No,No,No,No,,
1331,101929,703154000,city of boston,35 harvest st,35 harvest st,,boston,2125,harvest st,boston,2125,29448,,K-12 School,K-12 School (29448.0),47.9,82,1410504.3,1122378,59609.496,84445,17323.047,,,,,,,,,,,,,,,,,,,,,,9.26,in compliance,76932.543,2030,No,No,No,No,No,No,,
1334,101932,800504000,city of boston,150 norfolk ave,150 norfolk ave,,boston,2119,159 norfolk av,boston,2119,27642,,K-12 School,K-12 School (27642.0),91.5,35,2530164.7,2205581.2,117138.418,95130,19514.968,,,,,,,,,,,,,,,,,,,,,,8.21,in compliance,136653.386,2025,No,No,No,No,No,No,,
1335,101933,800593000,city of boston,6 shirley st,6 shirley st,,boston,2119,6 shirley st,boston,2119,31592,,K-12 School,K-12 School (31592.0),58.5,56,1848528.6,1343910.9,71375.108,147895,30339.18,,,,,,,,,,,,,,,,,,,,,,11.74,in compliance,101714.288,2030,No,No,No,No,No,No,,
1341,101945,802110010,city of boston,906 albany st,906 albany st,,boston,2119,906 albany st,boston,2119,125200,,K-12 School,K-12 School (125200.0),99.1,9,12411575.2,7790581.2,413757.768,1354336,277828.487,,,,,,,,,,,,,,,,,,,,,,9.56,in compliance,691586.255,2025,Yes,No,No,No,Yes,Yes,,
1343,101947,900160000,city of boston,380 shawmut ave,380 shawmut ave,,boston,2118,1461  1505 washington st,boston,2118,194260,,K-12 School,"K-12 School (194260.0),Swimming Pool (0.0)",120,17,23313393.8,20105135.7,1067783.757,940286.7,192890.414,,,,,,,,,,,,,,,,,,,,,,17.12,in compliance,1260674.171,2025,Yes,No,No,No,Yes,Yes,,
1344,101949,900694000,city of boston,70 worcester st,70 worcester st,,boston,2118,70  42 worcester st,boston,2118,41479,,K-12 School,K-12 School (41479.0),91.7,31,3804827.1,3210610.2,170515.508,174155,35726.157,,,,,,,,,,,,,,,,,,,,,,9.18,in compliance,206241.665,2025,No,No,No,No,No,No,,
1346,101953,902980000,city of boston,75 malcolm x blvd,75 malcolm x blvd,,boston,2119,55 malcolm x bl,boston,2119,1091717,,K-12 School,"K-12 School (1091717.0),Swimming Pool (0.0)",69.8,35,76214832.4,50527917.4,2683537.693,7528404,1544376.797,,,,,,,,,,,,,,,,,,,,,,8.63,in compliance,4227914.49,2025,No,No,No,No,No,No,,
1347,101955,903337000,city of boston,205 roxbury st,205 roxbury st,,boston,2119,205 roxbury st,boston,2119,83120,,K-12 School,K-12 School (83120.0),53.7,82,4467524.7,3909040,207609.114,163682.5,33577.828,,,,,,,,,,,,,,,,,,,,,,1.45,in compliance,241186.942,2025,No,No,No,No,No,No,,
1348,101956,903694001,city of boston,51 cedar st,51 cedar st,,boston,2119,cedar st,boston,2119,23084,,K-12 School,K-12 School (23084.0),83.7,32,1931230.9,1513223.9,80367.321,122510.8,25131.866,,,,,,,,,,,,,,,,,,,,,,8.61,in compliance,105499.187,2030,No,No,No,No,No,No,,
1350,101958,1000014000,city of boston,40 smith st,40 smith st,,boston,2120,40 smith st,boston,2120,64091,,K-12 School,K-12 School (64091.0),78.8,46,5050672.6,4282204.9,227427.902,225225,46202.657,,,,,,,,,,,,,,,,,,,,,,6.85,in compliance,273630.559,2025,No,No,No,No,No,No,,
1351,101959,1000269000,city of boston,10 fenwood rd,10 fenwood rd,,boston,2115,fenwood rd,boston,2115,35055,,K-12 School,K-12 School (35055.0),50.6,78,1773398.8,1382486,73423.831,114570,23502.89,,,,,,,,,,,,,,,,,,,,,,7.06,in compliance,96926.721,2025,No,No,No,No,No,No,,
1538,102168,1000598010,city of boston school dept,43-55 alleghany st,43-55 alleghany st,,boston,2120,43  55 alleghany st,boston,2120,66000,,K-12 School,K-12 School (66000.0),70.1,51,4628894.9,3683408.9,195625.847,277106.1,56845.545,,,,,,,,,,,,,,,,,,,,,,32.22,in compliance,252471.392,2025,No,No,No,No,No,No,,
4748,107007,1001673000,city of boston,201 heath st (bps-hennigan_school),201 heath st (bps-hennigan_school),,boston,2130,201 heath st (bps-hennigan_school),boston,2130,117872,,K-12 School,K-12 School (117872.0),104.5,41,12318148,12318148,654216.84,,0,,,,,,,,,,,,,,,,,,,,,,,in compliance,654216.84,2025,No,No,No,No,No,No,C10017,
1371,101982,1002705000,city of boston,7 bolster st,7 bolster st,,boston,2130,wyman st,boston,2130,49194,,K-12 School,K-12 School (49194.0),64.2,69,3158642,2764174.1,146805.286,115611.9,23716.625,,,,,,,,,,,,,,,,,,,,,,11.51,in compliance,170521.911,2025,No,No,No,No,No,No,,
1374,101985,1101416000,city of boston,164 school st,164 school st,,boston,2130,164 school st,boston,2130,31820,,K-12 School,K-12 School (31820.0),69.6,57,2213088.8,1845173,97997.138,107830,22120.246,,,,,,,,,,,,,,,,,,,,,,10.53,in compliance,120117.384,2030,No,No,No,No,No,No,,
4438,106524,1101465010,,3134 washington st,3134 washington st,,boston,2130,3134 washington st,boston,2130,28340,,K-12 School,"K-12 School (20540.0),Fitness Center/Health Club/Gym (7800.0)",37.7,,1069703.7,497310,26412.134,167759,34414.081,,,,,,,,,,,,,,,,,,,,,,2.45,in compliance,60826.215,2030,I'm not sure,No,No,No,I'm not sure,I'm not sure,,
1375,101986,1101565000,city of boston,61 school st,61 school st,,boston,2119,columbus av,boston,2119,64313,,K-12 School,K-12 School (64313.0),54.5,82,3502197.6,3107978,165064.712,115539.2,23701.711,,,,,,,,,,,,,,,,,,,,,,19.36,in compliance,188766.423,2025,No,No,No,No,No,No,,
1376,101987,1101854000,city of boston,160 harrishof st,160 harrishof st,,boston,2119,harrishof st,boston,2119,22968,,K-12 School,K-12 School (22968.0),59.2,66,1358785.6,1060355,56315.454,87465,17942.57,,,,,,,,,,,,,,,,,,,,,,11.34,in compliance,74258.024,2030,No,No,No,No,No,No,,
1377,101988,1102600000,city of boston,144 mcbride st,144 mcbride st,,boston,2130,144 mcbride st,boston,2130,225560,,K-12 School,K-12 School (225560.0),112.7,23,25425350.7,23557074.4,1251116.221,547560.5,112326.561,,,,,,,,,,,,,,,,,,,,,,8.62,in compliance,1363442.782,2025,Yes,No,No,No,Yes,Yes,,
1379,101990,1102901000,city of boston,25 glen rd,25 glen rd,,boston,2130,25 glen rd,boston,2130,19889,,K-12 School,K-12 School (19889.0),83.1,47,1652690.8,1467542.1,77941.161,54264,11131.717,,,,,,,,,,,,,,,,,,,,,,6.39,in compliance,89072.878,2030,No,No,No,No,No,No,,
1380,101991,1103019000,city of boston,20 child st,20 child st,,boston,2130,20 child st,boston,2130,115400,,K-12 School,K-12 School (115400.0),52.8,50,6091241,3173471.1,168543.05,855149.4,175425.348,,,,,,,,,,,,,,,,,,,,,,9.39,in compliance,343968.398,2025,Yes,No,No,No,Yes,Yes,,
1390,102002,1200039000,city of boston,36 winthrop st,36 winthrop st,,boston,2119,35 greenville st,boston,2119,128712,,K-12 School,K-12 School (128712.0),54,36,6955000.6,2826398.2,150110.008,1210024,248224.323,,,,,,,,,,,,,,,,,,,,,,4.21,in compliance,398334.331,2025,No,No,No,No,No,No,,
1391,102003,1200044000,city of boston,20 kearsarge ave,20 kearsarge ave,,boston,2119,20 kearsarge av,boston,2119,49474,,K-12 School,K-12 School (49474.0),64.8,66,3205531,2685149.9,142608.311,152515,31286.927,,,,,,,,,,,,,,,,,,,,,,6,in compliance,173895.238,2025,No,No,No,No,No,No,,
4173,106165,1200967000,three 84 warren st llc mass llc,384 warren st,384 warren st,,boston,2119,384 384b warren st,boston,2119,45528,,K-12 School,"K-12 School (28959.0),Office (5374.0),Retail Store (11195.0)",33.5,97,1525664.9,1224300,65022.573,88325,18118.991,,,,,,,,,,,,,,,,,,,,,,7.82,in compliance,83141.564,2030,No,No,No,No,No,No,,
1393,102008,1201737000,city of boston,121-131 walnut ave,121-131 walnut ave,,boston,2119,121  131 walnut av,boston,2119,76220,,K-12 School,K-12 School (76220.0),48.9,88,3723520.9,3298453.9,175180.887,124580,25556.341,,,,,,,,,,,,,,,,,,,,,,7.61,in compliance,200737.228,2025,No,No,No,No,No,No,,
1024,101421,1201895000,bridge boston charter school,435 warren st,435 warren st,,boston,2119,435 warren st,boston,2119,43378,,K-12 School,K-12 School (43378.0),74,53,3209768.5,1843060.3,97884.933,400559.3,82170.735,,,,,,,,,,,,,,,,,,,,,,7.96,in compliance,180055.668,2025,Yes,No,No,No,Yes,Yes,,
1394,102009,1201973000,city of boston,205 townsend st,205 townsend st,,boston,2121,205 townsend st,boston,2121,332366,,K-12 School,K-12 School (332366.0),43.2,84,14369245.4,10477678.2,556469.489,1140553,233973.042,,,,,,,,,,,,,,,,,,,,,,4.54,in compliance,790442.531,2025,No,No,No,No,No,No,,
4713,106924,1202935000,city of boston school dept,91-93 savin st,91-93 savin st,,boston,2119,91-93 savin st,boston,2119,35500,,K-12 School,K-12 School (35500.0),101.8,9,3612378,2480701.9,131750.078,331675.3,68039.871,,,,,,,,,,,,,,,,,,,,,,11.69,in compliance,199789.949,2025,Yes,No,No,No,Yes,Yes,,
1395,102010,1202985000,city of boston,302 walnut ave,302 walnut ave,,boston,2119,310 walnut av,boston,2119,51123,,K-12 School,K-12 School (51123.0),63.6,66,3251888.1,2747458.1,145917.5,147840,30327.898,,,,,,,,,,,,,,,,,,,,,,17.47,in compliance,176245.398,2025,No,No,No,No,No,No,,
4716,106928,1203275000,city of boston municipal,harrishof st,harrishof st,,boston,2121,harrishof st,boston,2121,79600,,K-12 School,K-12 School (79600.0),73.7,41,5865888.6,4391577.1,233236.66,432096,88640.173,,,,,,,,,,,,,,,,,,,,,,17.88,in compliance,321876.833,2025,No,No,No,No,No,No,,
1396,102011,1300476000,city of boston,35 brookford st,35 brookford st,,boston,2125,dacia st,boston,2125,40530,,K-12 School,K-12 School (40530.0),75.4,51,3055808.2,2568165.1,136395.248,142920,29318.609,,,,,,,,,,,,,,,,,,,,,,51.9,in compliance,165713.857,2025,No,No,No,No,No,No,,
1398,102013,1301506000,city of boston,71 pleasant st,71 pleasant st,,boston,2125,hesston te,boston,2125,45951,,K-12 School,K-12 School (45951.0),44.9,84,2062987.1,1694861.9,90014.116,107891.3,22132.821,,,,,,,,,,,,,,,,,,,,,,6.5,in compliance,112146.937,2025,No,No,No,No,No,No,,
525,100759,1303220000,boston collegiate charter,215 sydney st,215 sydney st,,boston,2125,215 sydney st,boston,2125,28467,,K-12 School,K-12 School (28467.0),36.7,72,1043841.6,399700,21228.067,188787.1,38727.786,,,,,,,,,,,,,,,,,,,,,,6.96,in compliance,59955.853,2030,No,No,No,No,No,No,,
1401,102017,1303409000,city of boston,315 mount vernon st,315 mount vernon st,,boston,2125,315 mt vernon st,boston,2125,115941,,K-12 School,K-12 School (115941.0),45.5,95,5270028.1,5270028.1,279891.192,,0,,,,,,,,,,,,,,,,,,,,,,,in compliance,279891.192,2025,No,No,No,No,No,No,C10018,
1402,102018,1303410000,city of boston,325 mount vernon st,325 mount vernon st,,boston,2125,325 mt vernon st,boston,2125,75892,,K-12 School,K-12 School (75892.0),46.1,95,3501066,3501066,185941.615,,0,,,,,,,,,,,,,,,,,,,,,,,in compliance,185941.615,2025,No,No,No,No,No,No,C10018,
1403,102019,1400030000,city of boston,85 olney st,85 olney st,,boston,2121,85 olney st,boston,2121,138585,,K-12 School,"K-12 School (138585.0),Swimming Pool (0.0)",109.1,21,15115708.1,12195764.6,647717.058,855786.5,175556.043,,,,,,,,,,,,,,,,,,,,,,7.12,in compliance,823273.101,2025,Yes,No,No,No,Yes,Yes,,
1404,102020,1400130000,city of boston,206 magnolia st,206 magnolia st,,boston,2121,206 magnolia st,boston,2121,28650,,K-12 School,K-12 School (28650.0),65.4,63,1872312,1559499.9,82825.04,91680,18807.235,,,,,,,,,,,,,,,,,,,,,,,in compliance,101632.275,2030,No,No,No,No,No,No,,
1405,102021,1400313000,city of boston,77 lawrence ave,77 lawrence ave,,boston,2121,77 lawrence av,boston,2121,108859,,K-12 School,K-12 School (108859.0),62.9,63,6850715,5483185.3,291211.971,400800,82220.112,,,,,,,,,,,,,,,,,,,,,,10.69,in compliance,373432.083,2025,No,No,No,No,No,No,,
1406,102022,1400359000,city of boston,270 columbia rd,270 columbia rd,,boston,2121,264  272 columbia rd,boston,2121,135000,,K-12 School,K-12 School (135000.0),67.7,25,9133377,4433858.9,235482.246,1377350,282549.579,,,,,,,,,,,,,,,,,,,,,,25.26,in compliance,518031.825,2025,No,No,No,No,No,No,,
1407,102023,1400737000,city of boston,60 washington st,60 washington st,,boston,2121,60 washington st,boston,2121,213341,,K-12 School,"K-12 School (147205.0),Library (57602.0),Social/Meeting Hall (8534.0)",83.4,,17783385.3,12973864.9,689041.965,1409590,289163.293,,,,,,,,,,,,,,,,,,,,,,2.37,in compliance,978205.258,2025,No,No,No,No,No,No,,
1408,102024,1402520000,city of boston,2 mclellan st,2 mclellan st,,boston,2121,206 mclellan st,boston,2121,21560,,K-12 School,K-12 School (21560.0),94.7,51,2041728.5,1972917,104781.622,20167.5,4137.161,,,,,,,,,,,,,,,,,,,,,,1.56,in compliance,108918.783,2030,No,No,No,No,No,No,,
1409,102025,1402619000,city of boston,180 glenway st,180 glenway st,,boston,2121,180 glenway st,boston,2121,58452,,K-12 School,K-12 School (58452.0),38.8,79,2265461.9,1258052,66815.142,295255,60568.611,,,,,,,,,,,,,,,,,,,,,,9.31,in compliance,127383.753,2025,No,No,No,No,No,No,,
1448,102063,1402864000,city of boston,155 talbot ave,155 talbot ave,,boston,2124,155 talbot av,boston,2124,153460,,K-12 School,"K-12 School (153460.0),Swimming Pool (0.0)",96.2,37,14758500,12942473.2,687374.752,532247,109185.15,,,,,,,,,,,,,,,,,,,,,,12.28,in compliance,796559.902,2025,Yes,No,No,No,Yes,Yes,,
1449,102064,1403430000,city of boston,429 norfolk st,429 norfolk st,,boston,2124,norfolk st,boston,2124,32706,,K-12 School,K-12 School (32706.0),47.3,82,1547191.2,1208499,64183.382,99265,20363.222,,,,,,,,,,,,,,,,,,,,,,8.93,in compliance,84546.604,2030,No,No,No,No,No,No,,
1451,102066,1405014000,city of boston,20 outlook rd,20 outlook rd,,boston,2126,outlook rd,boston,2126,105480,,K-12 School,K-12 School (105480.0),69.3,58,7304738.3,5967403,316928.773,391950.6,80404.746,,,,,,,,,,,,,,,,,,,,,,6.87,in compliance,397333.519,2025,No,No,No,No,No,No,,
1452,102067,1500364000,city of boston,24 parish st,24 parish st,,boston,2122,parish st,boston,2122,76974,,K-12 School,K-12 School (76974.0),50.6,83,3898499.4,3323531,176512.731,168513.6,34568.88,,,,,,,,,,,,,,,,,,,,,,8.57,in compliance,211081.611,2025,No,No,No,No,No,No,,
1453,102068,1500740000,city of boston,47 westville st,47 westville st,,boston,2124,47 westville st,boston,2124,141091,,K-12 School,"K-12 School (141091.0),Swimming Pool (0.0)",126.1,19,17789482.4,16055143.4,852688.666,508305.7,104273.831,,,,,,,,,,,,,,,,,,,,,,6.99,in compliance,956962.497,2025,Yes,No,No,No,Yes,Yes,,
1454,102070,1501543000,city of boston,11 charles st,11 charles st,,boston,2122,charles st,boston,2122,116880,,K-12 School,K-12 School (116880.0),41.1,73,4801856.1,2704242.9,143622.34,614775.3,126115.005,,,,,,,,,,,,,,,,,,,,,,6.04,in compliance,269737.345,2025,No,No,No,No,No,No,,
4918,107258,1501543000,city of boston,cleveland old,cleveland old,,boston,2122,charles st,boston,2122,54990,,K-12 School,K-12 School (54990.0),185.9,3,10225371.5,9432512.7,500960.749,232373.6,47669.12,,,,,,,,,,,,,,,,,,,,,,,in compliance,548629.869,2025,No,No,No,No,No,No,,
3629,105384,1501732000,roman cath arch of bos,294 bowdoin st,294 bowdoin st,,boston,2122,294 bowdoin st,boston,2122,65744,,K-12 School,K-12 School (65744.0),32.4,97,2130948.4,1438453.3,76396.255,202958.7,41634.948,,,,,,,,,,,,,,,,,,,,,,3.31,in compliance,118031.203,2025,No,No,No,No,No,No,,
1456,102072,1600261000,city of boston,1 worrell st,1 worrell st,,boston,2122,wm t morrissey bl,boston,2122,139000,,K-12 School,"K-12 School (139000.0),Swimming Pool (0.0)",92.8,41,12904690.1,10708096.9,568707.026,643784.6,132065.973,,,,,,,,,,,,,,,,,,,,,,9.74,in compliance,700772.999,2025,Yes,No,No,No,Yes,Yes,,
1458,102074,1601228000,city of boston,1669 dorchester ave,1669 dorchester ave,,boston,2122,dorchester av,boston,2122,30000,,K-12 School,K-12 School (30000.0),117.8,14,3535152.4,3055649.2,162285.529,140534.3,28829.206,,,,,,,,,,,,,,,,,,,,,,9.81,in compliance,191114.735,2030,No,No,No,No,No,No,,
1915,102843,1601229000,epiphany school inc,232 centre st,232 centre st,,boston,2124,232 centre st,boston,2124,8950,,K-12 School,K-12 School (8950.0),7.9,100,70523.4,70523.4,3745.498,,0,,,,,,,,,,,,,,,,,,,,,,,in compliance,3745.498,2030,No,No,No,No,No,No,C10025,
1916,102844,1601229000,epiphany school inc,228-230 centre st,228-230 centre st,,boston,2124,232 centre st,boston,2124,23617,,K-12 School,K-12 School (23617.0),32.1,99,758524.1,758524.1,40285.215,,0,,,,,,,,,,,,,,,,,,,,,,,in compliance,40285.215,2030,No,No,No,No,No,No,C10025,
3657,105413,1602169000,roman cath archbishop,239 neponset ave,239 neponset ave,,boston,2122,241 neponset av,boston,2122,51692,,K-12 School,"K-12 School (49190.0),Pre-school/Daycare (2502.0)",43,84,2224371.4,1266153.6,67245.418,280837.6,57611.025,,,,,,,,,,,,,,,,,,,,,,11.69,in compliance,124856.443,2025,Yes,No,No,No,Yes,Yes,,
1459,102075,1603485000,city of boston,19 oakton ave,19 oakton ave,,boston,2122,oakton av,boston,2122,37578,,K-12 School,K-12 School (37578.0),58.6,72,2203926.4,1840186.1,97732.284,106606.2,21869.196,,,,,,,,,,,,,,,,,,,,,,11.12,in compliance,119601.48,2025,No,No,No,No,No,No,,
3615,105364,1604518000,roman cath arch boston,29 rita rd,29 rita rd,,boston,2124,gallivan bl,boston,2124,24750,,K-12 School,"K-12 School (22946.0),Pre-school/Daycare (1804.0)",30.9,99,764360.2,697416,37039.764,19620.2,4024.888,,,,,,,,,,,,,,,,,,,,,,6.04,in compliance,41064.652,2025,Yes,No,No,No,Yes,Yes,,
1461,102077,1700125000,city of boston,40 school st,40 school st,,boston,2124,thane st,boston,2124,60280,,K-12 School,K-12 School (60280.0),62.4,68,3759103.8,3181633.1,168976.534,169247,34719.33,,,,,,,,,,,,,,,,,,,,,,9.6,in compliance,203695.864,2025,No,No,No,No,No,No,,
4659,106850,1700796000,,55 sharp st,55 sharp st,,boston,2124,55 sharp st,boston,2124,23080,,K-12 School,K-12 School (23080.0),81.2,30,1874328.5,1385813.8,73600.571,143175.5,29371.022,,,,,,,,,,,,,,,,,,,,,,9.75,in compliance,102971.593,2030,No,No,No,No,No,No,,
1463,102079,1701055000,city of boston,22 regina rd,22 regina rd,,boston,2124,22 regina rd,boston,2124,23281,,K-12 School,K-12 School (23281.0),109.5,21,2549770.5,2266100.2,120352.582,83139,17055.134,,,,,,,,,,,,,,,,,,,,,,,in compliance,137407.716,2030,No,No,No,No,No,No,,
1465,102081,1701736000,city of boston,25 dunbar ave,25 dunbar ave,,boston,2124,25 dunbar av,boston,2124,31654,,K-12 School,K-12 School (31654.0),65.1,65,2059519.9,1748800.8,92878.81,91066.6,18681.402,,,,,,,,,,,,,,,,,,,,,,9.53,in compliance,111560.212,2030,No,No,No,No,No,No,,
1466,102082,1701773010,city of boston,9 peacevale rd,9 peacevale rd,,boston,2124,97 armandine st,boston,2124,153460,,K-12 School,K-12 School (153460.0),60.5,65,9278785.4,7473067.1,396894.594,529225.8,108565.381,,,,,,,,,,,,,,,,,,,,,,6.04,in compliance,505459.975,2025,No,No,No,No,No,No,,
4919,107259,1701773010,city of boston,dot hs annex,dot hs annex,,boston,2124,97 armandine st,boston,2124,10287,,K-12 School,K-12 School (10287.0),134.7,5,1385490.3,1155658,61376.996,67360,13818.23,,,,,,,,,,,,,,,,,,,,,,,in compliance,75195.226,2025,No,No,No,No,No,No,,
1467,102083,1702514000,city of boston,100 maxwell st,100 maxwell st,,boston,2124,100 maxwell st,boston,2124,71095,,K-12 School,K-12 School (71095.0),69.8,54,4959323.7,3972208.2,210963.978,289307,59348.438,,,,,,,,,,,,,,,,,,,,,,7.9,in compliance,270312.416,2025,No,No,No,No,No,No,,
1468,102084,1703440000,city of boston,1060 morton st,1060 morton st,,boston,2124,morton st,boston,2124,49702,,K-12 School,K-12 School (49702.0),90.5,40,4498534.1,4044044.1,214779.182,133203.4,27325.345,,,,,,,,,,,,,,,,,,,,,,7.04,in compliance,242104.527,2025,No,No,No,No,No,No,,
3618,105367,1703589000,roman cath arch boston,2214 dorchester ave,2214 dorchester ave,,boston,2124,2214  2224 dorchester av,boston,2124,81888,,K-12 School,"Residential Care Facility (5902.0),K-12 School (58714.0),Other - Education (17272.0)",11.3,,926112.3,370996.4,19703.619,162695.2,33375.293,,,,,,,,,,,,,,,,,,,,,,,pending revisions,53078.912,2025,I'm not sure,No,No,No,I'm not sure,I'm not sure,,
1469,102085,1704353000,city of boston,18 croftland ave,18 croftland ave,,boston,2124,alicia rd,boston,2124,97130,,K-12 School,K-12 School (97130.0),78.9,50,7662096.7,6718822,356836.636,276458,56712.594,,,,,,,,,,,,,,,,,,,,,,5.87,in compliance,413549.23,2025,No,No,No,No,No,No,,
1470,102086,1800513000,city of boston,108 babson st,108 babson st,,boston,2126,108 babson st,boston,2126,36820,,K-12 School,K-12 School (36820.0),76.5,23,2817385.2,1722103.2,91460.901,321008.8,65851.745,,,,,,,,,,,,,,,,,,,,,,12.81,in compliance,157312.646,2025,No,No,No,No,No,No,,
4715,106926,1800820000,city of boston,33-35 mildred av,33-35 mildred av,,boston,2126,33-35 mildred av,boston,2126,172000,,K-12 School,"K-12 School (172000.0),Swimming Pool (0.0)",78,27,13423935.1,7271688,386199.35,1803120,369892.037,,,,,,,,,,,,,,,,,,,,,,7.59,in compliance,756091.387,2025,No,No,No,No,No,No,,
2631,104021,1800967000,,37 babson st,37 babson st,,boston,2126,37 babson st,boston,2126,54462,,K-12 School,K-12 School (54462.0),77.8,29,4239851.8,2009094.8,106703.025,653797.5,134120.019,,,,,,,,,,,,,,,,,,,,,,8.9,in compliance,240823.044,2025,No,No,No,No,No,No,,
2886,104328,1801498010,match charter public school,50 poydras st,50 poydras st,,boston,2136,50 poydras st,boston,2136,20100,,K-12 School,K-12 School (20100.0),81,23,1629032.9,1090284.7,57905.02,157898.1,32391.216,,,,,,,,,,,,,,,,,,,,,,7.98,in compliance,90296.236,2025,No,No,No,No,No,No,,
4660,106851,1801498010,match charter public school,100 poydras st,100 poydras st,,boston,2136,100 poydras st,boston,2136,39000,,K-12 School,K-12 School (39000.0),46.4,95,1809371.6,1809371.6,96095.726,,0,,,,,,,,,,,,,,,,,,,,,,4.11,in compliance,96095.726,2025,No,No,No,No,No,No,C10045,
