_id,BERDO ID,Tax Parcel ID,Property Owner Name,Building Address,Geospatial Address,Geospatial Address.1,Building Address City,Building Address Zip  Code,Parcel Address,Parcel Address City,Parcel Address Zip Code,Reported Gross Floor Area (Sq Ft),Reported Enclosed Parking Area (Sq Ft),Largest Property Type,All Property Types and GFAs,Site EUI (Energy Use Intensity kBtu/ft2),Energy Star Score,Total Site Energy Usage (kBtu),Natural Gas Usage (kBtu),Natural Gas Emissions (kgCO2e),Electricity Usage (kWh),Electricity Emissions (kgCO2e),Renewable System Electricity Usage Onsite (kBtu),District Hot Water Usage (kBtu),District Hot Water Emissions (kgCO2e),District Chilled Water Usage (kBtu),District Chilled Water Emissions (kgCO2e),District Steam Usage (kBtu),District Steam Emissions (kgCO2e),Fuel Oil 1 Usage (kBtu),Fuel Oil 1 Emissions (kgCO2e),Fuel Oil 2 Usage (kBtu),Fuel Oil 2 Emissions (kgCO2e),Fuel Oil 4 Usage (kBtu),Fuel Oil 4 Emissions (kgCO2e),Fuel Oil 5 and 6 Usage (kBtu),Fuel Oil 5 and 6 Emissions (kgCO2e),Propane Usage (kBtu),Propane Emissions (kgCO2e),Diesel Usage (kBtu),Diesel Emissions (kgCO2e),Kerosene Usage (kBtu),Kerosene Emissions (kgCO2e),Water Usage Intensity (Gallons/ft2),Compliance Status,Estimated Total GHG Emissions (kgCO2e),First Emissions Compliance Year (Projected),Community Choice Electricity Participation,Renewable Energy Purchased through a Power Purchase Agreement (,Renewable Energy Certificate (REC) Purchase,Backup Generator,Battery Storage,Electric Vehicle (EV) Charging,Corresponding Campus ID,Notes,Percentage Electrification,Estimated Carbon Emissions Intensity (kg CO2e/sf),Log GSF,Log EUI,Log Total Site Energy,Log GHG Emissions,Log CEI,Log % Electrification
3733,105584,1200183001.0,s a m h corp,138-148 warren st,138,148 warren st,,2119.0,138  148 warren st,boston,2119,24200.0,,Multifamily Housing,"Personal Services (Health/Beauty, Dry Cleaning, etc) (1500.0),Multifamily Housing (21525.0),Social/Meeting Hall (1175.0)",68.0,,1645748.976,1389599.9,73801.651,75073.0,15400.475,,,,,,,,,,,,,,,,,,,,,,5.61,in compliance,89202.126,2030.0,Yes,No,No,No,Yes,Yes,,,15.564970155570068,3.6860382644628102,10.094107912144779,4.219507705176107,14.31370614312121,11.39866015236479,1.3045522402200134,2.745022886485377
4450,106538,1200280000.0,van ness terrace,238-248 warren st,238,248 warren st,,2119.0,236 248a warren st,boston,2119,46996.0,,Multifamily Housing,Multifamily Housing (46996.0),61.3,75.0,2882883.176,2224629.9,118150.094,192923.0,39576.224,,,,,,,,,,,,,,,,,,,,,,41.39,in compliance,157726.318,2025.0,No,No,No,No,No,No,,,22.834161992070953,3.3561647374244616,10.757817770687463,4.115779842942166,14.874301454120706,11.96861664552047,1.2107988748330065,3.1282577475650903
3693,105495,1200302000.0,,2 waverly st,2 waverly st,2 waverly st,,2119.0,2 waverly st,boston,2119,91430.0,,Multifamily Housing,Multifamily Housing (91430.0),46.4,92.0,4243864.464,3060337.2,162534.509,346872.0,71157.322,,,,,,,,,,,,,,,,,,,,,,29.66,in compliance,233691.831,2025.0,No,No,No,No,No,No,,,27.889186962498624,2.5559644646177406,11.423328931158473,3.8372994592322094,15.26098484229653,12.361758564845402,0.9384296336869311,3.328239049636806
2647,104038,1200420000.0,laconcha limited partnership,3 alaska st,3 alaska st,3 alaska st,,2119.0,3  15 alaska st,boston,2119,42548.0,,Multifamily Housing,Multifamily Housing (42548.0),53.9,80.0,2293666.992,1852782.0,98401.252,129216.0,26507.37,,,,,,,,,,,,,,,,,,,,,,41.18,in compliance,124908.622,2025.0,I'm not sure,No,No,No,I'm not sure,I'm not sure,,,19.222684720049372,2.9357107737143933,10.658388129371556,3.9871304779149512,14.645662401356345,11.735337724956104,1.0769495955845483,2.9560910774527116
3692,105494,1200721000.0,,82 walnut ave,82 walnut ave,82 walnut ave,,2119.0,82 walnut av,boston,2119,20688.0,,Multifamily Housing,Multifamily Housing (20688.0),123.6,,2556083.008,2310900.1,122731.904,71859.0,14741.155,,,,,,,,,,,,,,,,,,,,,,,pending revisions,137473.059,2030.0,No,No,No,No,No,No,,,9.592555722274886,6.645062790023203,9.937309101011639,4.817050545023591,14.753986569695586,11.831183242345627,1.8938741413339892,2.2609873520639683
3605,105351,1200724000.0,rockland st elderly housing,30 rockland st,30 rockland st,30 rockland st,,2119.0,26  28 rockland st,boston,2119,32980.0,,Multifamily Housing,Multifamily Housing (32980.0),45.8,85.0,1509077.671,985156.2,52321.646,153552.6,31499.78,,,,,,,,,,,,,,,,,,,,,,32.11,in compliance,83821.426,2025.0,No,No,No,No,No,No,,,34.71951869401161,2.541583565797453,10.40365659611359,3.824284091120139,14.22700920826101,11.336443933980496,0.9327873378669057,3.5473020271963986
2588,103968,1200921000.0,kasanof land llc,215-233 blue hill ave,215,233 blue hill ave,,2119.0,233 blue hill av,boston,2119,72728.0,0.0,Multifamily Housing,"Multifamily Housing (72728.0),Parking (12150.0)",56.9,43.0,4137622.456,2335700.9,124049.075,528113.0,108337.101,,,,,,,,,,,,,,,,,,,,,,39.05,in compliance,232386.176,2025.0,I'm not sure,No,No,No,I'm not sure,I'm not sure,,,43.551599792216514,3.1952779672203278,11.194481733801695,4.041295341132285,15.235631894845799,12.35615581854179,1.1616740847400955,3.773946437232688
545,100793,1201140000.0,boston housing auth,280 martin luther king jr blvd,280 martin luther king jr blvd,280 martin luther king jr blvd,,2119.0,280 martin luther king jr bl,boston,2119,95200.0,,Multifamily Housing,Multifamily Housing (95200.0),89.3,,8503942.8,6694900.4,355566.16,530200.0,108765.228,,,,,,,,,,,,,,,,,,,,,,46.12,in compliance,464331.388,2025.0,No,No,No,No,No,No,,,21.273919316578656,4.877430546218487,11.463735220779457,4.492001487882454,15.956040472734827,13.048353774566033,1.5846185537865765,3.057481877238783
4088,106066,1201345000.0,taurus at fountain hill associates,16 akron st,16 akron st,16 akron st,,2119.0,16 akron st,boston,2119,77571.0,,Multifamily Housing,Multifamily Housing (77571.0),71.7,57.0,5564132.764,4484330.3,238162.782,316472.0,64921.066,,,,,,,,,,,,,,,,,,,,,,49.16,in compliance,303083.848,2025.0,No,No,No,No,No,No,,,19.4073358886517,3.907179848139124,11.258948924983619,4.272490747605575,15.531851692991694,12.621764772282516,1.3628158472988974,2.9656511331831976
3958,105905,1201440000.0,st james estates condo trust,66 saint james st,66 saint james st,66 saint james st,,2119.0,66  70 st james st,boston,2119,27000.0,,Multifamily Housing,Multifamily Housing (27000.0),46.4,95.0,1251919.908,896700.0,47623.737,104109.0,21356.92,,,,,,,,,,,,,,,,,,,,,,18.75,in compliance,68980.657,2030.0,No,No,No,No,No,No,,,28.37525963761573,2.5548391481481483,10.203592144986466,3.8372994592322094,14.040188857349927,11.14158141094533,0.9379892659588631,3.3455176259840465
5103,107531,1201820000.0,,51 humboldt av,51 humboldt av,51 humboldt av,,2119.0,,,,27494.0,,Multifamily Housing,Multifamily Housing (27494.0),61.5,81.0,1691223.549,1552159.3,82435.18,40757.4,8360.973,,,,,,,,,,,,,,,,,,,,,,87.71,in compliance,90796.153,2030.0,No,No,No,No,No,No,,,8.223062083793158,3.3023988142867537,10.221723078031365,4.119037174812473,14.340962818433521,11.416372195850432,1.1946491178190675,2.1069426559776665
4523,106668,1201990000.0,washington park lp mass lp,25 wyoming st,25 wyoming st,25 wyoming st,,2121.0,25  33 wyoming st,boston,2121,42840.0,,Multifamily Housing,Multifamily Housing (42840.0),91.3,20.0,3911625.06,3156105.9,167620.784,221430.0,45424.15,,,,,,,,,,,,,,,,,,,,,,39.0,in compliance,213044.934,2025.0,I'm not sure,No,No,No,I'm not sure,I'm not sure,,,19.31556227682006,4.973037675070028,10.665227524561685,4.514150787600923,15.179463461985275,12.269258380189585,1.6040308556278995,2.9609111065834806
4087,106065,1201992000.0,taurus apartments company,120 humboldt ave,120 humboldt ave,120 humboldt ave,,2121.0,120 humboldt av,boston,2121,42336.0,,Multifamily Housing,Multifamily Housing (42336.0),74.2,40.0,3143347.666,2542646.3,135039.945,176055.5,36116.025,,,,,,,,,,,,,,,,,,,,,,32.4,in compliance,171155.97,2025.0,No,No,No,No,No,No,,,19.11108277403636,4.042799744897959,10.653393066914683,4.3067641501733345,14.96079892563421,12.050330525032715,1.3969374581180318,2.950268416722223
