Reported Gross Floor Area (Sq Ft),Site EUI (Energy Use Intensity kBtu/ft2),Total Site Energy Usage (kBtu),Estimated Total GHG Emissions (kgCO2e),Cluster
25926.136039137786,81.76964025863568,2119885.1825661836,118540.40018081569,0
120326.32222670251,64.42912490028753,7752150.358663726,438119.9155058044,1
296085.1312481403,46.38768586364471,13737421.275135087,784090.8511835596,2
31942.40253152668,27.123624319961202,866433.008020609,50894.12049065906,3
86797.50728943014,37.3921916969475,3245652.3397349534,186362.37977565243,4
52136.026120795796,72.65675174817844,3788184.916844698,213046.48687247513,5
34251.47170656004,46.50714110750909,1592927.5603238984,90443.93904604438,6
36186.33413787441,10.561441189150518,381762.14150235266,22759.91348294557,7
