Reported Gross Floor Area (Sq Ft),Site EUI (Energy Use Intensity kBtu/ft2),Total Site Energy Usage (kBtu),Estimated Total GHG Emissions (kgCO2e),Cluster
34555.2696671324,52.99959252429332,1831375.8898237734,103965.31237808254,0
134796.81298778494,55.49059464698074,7480297.020727283,424501.77891884965,1
