Reported Gross Floor Area (Sq Ft),Site EUI (Energy Use Intensity kBtu/ft2),Total Site Energy Usage (kBtu),Estimated Total GHG Emissions (kgCO2e),Cluster
30733.85278690303,33.519966246101745,1030189.0833495702,60081.48177230247,0
326162.13479722553,48.114528312222745,15697190.543954998,897047.1915480511,1
53292.477877597375,74.4942855757548,3970169.185755301,224045.44649238134,2
26219.951913866676,77.36366748028118,2028352.506529198,113993.443542939,3
147845.25084942766,38.65220914313949,5714201.932140057,326820.1045531201,4
51133.4274417949,44.30662965106549,2265597.970056033,128747.10961842716,5
125670.01376000955,72.06624752770276,9056632.058456816,510261.6560263821,6
