_id,BERDO ID,Tax Parcel ID,Property Owner Name,Building Address,Geospatial Address,Geospatial Address.1,Building Address City,Building Address Zip  Code,Parcel Address,Parcel Address City,Parcel Address Zip Code,Reported Gross Floor Area (Sq Ft),Reported Enclosed Parking Area (Sq Ft),Largest Property Type,All Property Types and GFAs,Site EUI (Energy Use Intensity kBtu/ft2),Energy Star Score,Total Site Energy Usage (kBtu),Natural Gas Usage (kBtu),Natural Gas Emissions (kgCO2e),Electricity Usage (kWh),Electricity Emissions (kgCO2e),Renewable System Electricity Usage Onsite (kBtu),District Hot Water Usage (kBtu),District Hot Water Emissions (kgCO2e),District Chilled Water Usage (kBtu),District Chilled Water Emissions (kgCO2e),District Steam Usage (kBtu),District Steam Emissions (kgCO2e),Fuel Oil 1 Usage (kBtu),Fuel Oil 1 Emissions (kgCO2e),Fuel Oil 2 Usage (kBtu),Fuel Oil 2 Emissions (kgCO2e),Fuel Oil 4 Usage (kBtu),Fuel Oil 4 Emissions (kgCO2e),Fuel Oil 5 and 6 Usage (kBtu),Fuel Oil 5 and 6 Emissions (kgCO2e),Propane Usage (kBtu),Propane Emissions (kgCO2e),Diesel Usage (kBtu),Diesel Emissions (kgCO2e),Kerosene Usage (kBtu),Kerosene Emissions (kgCO2e),Water Usage Intensity (Gallons/ft2),Compliance Status,Estimated Total GHG Emissions (kgCO2e),First Emissions Compliance Year (Projected),Community Choice Electricity Participation,Renewable Energy Purchased through a Power Purchase Agreement (,Renewable Energy Certificate (REC) Purchase,Backup Generator,Battery Storage,Electric Vehicle (EV) Charging,Corresponding Campus ID,Notes,Cluster_2,Cluster_3
1013,101366,100534000.0,brandywyne village co,870-908a saratoga st,870-908a saratoga st,,boston,2128.0,870 908a saratoga st,boston,2128,385660.0,,Multifamily Housing,Multifamily Housing (385660.0),70.5,74.0,27200633.84,22441934.5,1191891.141,1394695.0,286107.732,,,,,,,,,,,,,,,,,,,,,,47.75,in compliance,1477998.873,2025.0,No,No,No,No,No,No,,,0.0,2.0
1178,101752,100728000.0,cheverus school apts inc,10 moore st,10 moore st,,boston,2128.0,10 moore st,boston,2128,45216.0,,Multifamily Housing,Multifamily Housing (45216.0),50.9,70.0,2302929.834,1626178.4,86366.335,198344.5,40688.391,,,,,,,,,,,,,,,,,,,,,,34.52,in compliance,127054.726,2025.0,No,Yes,No,No,No,No,,,0.0,0.0
3029,104535,101082000.0,,720 bennington st,720 bennington st,,boston,2128.0,720 bennington st,boston,2128,23940.0,,Multifamily Housing,Multifamily Housing (23940.0),23.3,100.0,557979.572,,,89681.0,18397.16,,,,,,,,,,251988.0,18700.029,,,,,,,,,,,31.15,in compliance,37097.189,2030.0,No,No,No,No,No,No,,,0.0,2.0
1140,101708,102829000.0,chapman house associates lps mass lps,61 eutaw st,61 eutaw st,,boston,2128.0,61 eutaw st,boston,2128,33551.0,,Multifamily Housing,Multifamily Housing (33551.0),71.1,53.0,2386041.264,1838340.2,97634.248,160522.0,32929.483,,,,,,,,,,,,,,,,,,,,,,34.9,in compliance,130563.731,2030.0,No,No,No,No,No,No,,,0.0,2.0
2662,104054,103613000.0,,401 border st,401 border st,,boston,2128.0,401 border st,boston,2128,51488.0,,Multifamily Housing,Multifamily Housing (51488.0),55.1,65.0,2835791.202,1900106.5,100914.656,274233.5,56256.26,,,,,,,,,,,,,,,,,,,,,,23.74,in compliance,157170.916,2025.0,No,No,No,No,No,No,,,0.0,2.0
2660,104052,103647000.0,,344-352 meridian st,344-352 meridian st,,boston,2128.0,344  352 meridian st,boston,2128,50000.0,,Multifamily Housing,Multifamily Housing (50000.0),66.9,70.0,3344770.108,2485683.1,132014.629,251784.0,51650.97,,,,,,,,,,,,,,,,,,,,,,45.26,in compliance,183665.599,2025.0,No,Yes,No,No,No,No,,,0.0,2.0
1839,102744,103894010.0,ebcdc inc,120-150 orleans st,120-150 orleans st,,boston,2128.0,120  150 orleans st,boston,2128,41716.0,,Multifamily Housing,Multifamily Housing (41716.0),70.9,25.0,2956081.048,2064000.0,109619.04,261454.0,53634.674,,,,,,,,,,,,,,,,,,,,,,33.54,in compliance,163253.714,2025.0,No,No,No,No,No,No,,,0.0,0.0
2250,103363,103916000.0,greenway apartments llc mass llc,172 maverick st,172 maverick st,,boston,2128.0,170  172 maverick st,boston,2128,38370.0,,Multifamily Housing,Multifamily Housing (38370.0),43.2,91.0,1658593.148,1065062.1,56565.448,173954.0,35684.924,,,,,,,,,,,,,,,,,,,,,,36.79,in compliance,92250.372,2030.0,No,Yes,No,No,No,No,,,1.0,1.0
4126,106111,104164010.0,the porter 156 condominium trust,156-204 porter st,156-204 porter st,,boston,2128.0,156  204 porter st,boston,2128,198660.0,,Multifamily Housing,Multifamily Housing (198660.0),44.7,70.0,8874934.44,4797099.7,254773.965,1195145.0,245172.045,,,,,,,,,,,,,,,,,,,,,,26.7,in compliance,499946.01,2025.0,No,No,No,No,No,No,,,0.0,0.0
1661,102495,104372000.0,constitution apartments llc,917 bennington st,917 bennington st,,boston,2128.0,917 bennington st,boston,2128,47230.0,10000.0,Multifamily Housing,"Multifamily Housing (47230.0),Parking (10000.0)",31.7,99.0,1496606.96,576800.0,30633.848,269580.0,55301.641,,,,,,,,,,,,,,,,,,,,,,25.6,pending revisions,85935.489,2025.0,No,No,No,No,No,No,,,1.0,1.0
2826,104266,104447000.0,,marginal st,marginal st,,boston,2128.0,marginal st,boston,2128,196763.0,40052.0,Multifamily Housing,"Multifamily Housing (196763.0),Parking (74456.0)",31.3,96.0,6158554.7,1180617.3,62702.585,1458950.0,299289.003,,,,,,,,,,,,,,,,,,,,,,22.3,in compliance,361991.588,2025.0,No,No,No,No,No,No,,,1.0,1.0
2827,104267,104447010.0,,marginal st,marginal st,,boston,2128.0,marginal st,boston,2128,291137.0,98817.0,Multifamily Housing,"Multifamily Housing (291137.0),Swimming Pool (0.0),Parking (98817.0)",30.4,99.0,8851695.96,2297738.7,122032.902,1920855.0,394044.195,,,,,,,,,,,,,,,,,,,,,,25.78,in compliance,516077.097,2025.0,No,No,No,No,No,No,,,0.0,0.0
5415,107952,105314000.0,,197-207 maverick st,197-207 maverick st,,east boston,2128.0,,,,42458.0,0.0,Multifamily Housing,"Multifamily Housing (42458.0),Parking (9800.0)",39.2,94.0,1663780.076,681728.0,36206.574,287823.0,59044.01,,,,,,,,,,,,,,,,,,,,,,21.63,in compliance,95250.584,2025.0,No,No,No,No,No,No,,,0.0,2.0
4464,106569,105343100.0,victory gardens association,54 orleans st,54 orleans st,,boston,2128.0,60  70 orleans st,boston,2128,81565.0,,Multifamily Housing,Multifamily Housing (81565.0),42.8,84.0,3489650.94,2221768.8,117998.141,371595.0,76228.998,,,,,,,,,,,,,,,,,,,,,,20.28,in compliance,194227.139,2025.0,No,No,No,No,No,No,,,0.0,0.0
2293,103470,105392000.0,harborview condo trust,10 orleans st,10 orleans st,,boston,2128.0,10 orleans st,boston,2128,23633.0,0.0,Multifamily Housing,"Multifamily Housing (23633.0),Parking (6488.0)",26.9,87.0,636679.2,,,186600.0,38279.124,,,,,,,,,,,,,,,,,,,,,,22.12,in compliance,38279.124,2030.0,I'm not sure,No,No,No,I'm not sure,I'm not sure,,,0.0,2.0
2421,103648,105398000.0,heritage housing corp,30 s bremen st,30 s bremen st,30 s bremen st,,2128.0,2  30 marginal st,boston,2128,52800.0,,Multifamily Housing,Multifamily Housing (52800.0),83.0,7.0,4380912.344,2451300.1,130188.548,565537.0,116014.26,,,,,,,,,,,,,,,,,,,,,,60.07,in compliance,246202.808,2025.0,No,No,No,No,No,No,,,0.0,2.0
2692,104090,105398005.0,lewis mall apartments inc,225 sumner st,225 sumner st,225 sumner st,,2128.0,s bremen st,boston,2128,30096.0,0.0,Multifamily Housing,"Multifamily Housing (30096.0),Parking (1296.0)",67.9,39.0,2042101.114,1107180.7,58802.367,274009.5,56210.309,,,,,,,,,,,,,,,,,,,,,,47.71,in compliance,115012.676,2025.0,No,Yes,No,No,No,No,,,1.0,2.0
2432,103660,105399000.0,,2 Monsignor Albert A Jacobbe Rd,2 Monsignor Albert A Jacobbe Rd,2 Monsignor Albert A Jacobbe Rd,,2128.0,2 msgr albert a jacobbe rd,boston,2128,63250.0,,Multifamily Housing,Multifamily Housing (63250.0),83.0,,5248172.096,2936600.1,155962.831,677483.0,138978.863,,,,,,,,,,,,,,,,,,,,,,120.84,in compliance,294941.694,2025.0,,,,,,,,,0.0,0.0
3894,105821,105400040.0,,65 lewis st,65 lewis st,65 lewis st,,2128.0,65 lewis st,boston,2128,101703.0,,Multifamily Housing,Multifamily Housing (101703.0),141.9,14.0,14427077.13,9985100.1,530308.666,1301869.0,267065.407,,,,,,,,,,,,,,,,,,,,,,132.03,in compliance,797374.073,2030.0,I'm not sure,No,No,No,I'm not sure,I'm not sure,,,1.0,1.0
1556,102304,105401000.0,clippership apartments lp,125-131 sumner st,125,131 sumner st,,2128.0,125 sumner st,boston,2128,27864.0,,Multifamily Housing,Multifamily Housing (27864.0),43.9,97.0,1222506.904,616563.0,32745.661,177592.0,36431.223,,,,,,,,,,,,,,,,,,,,,,53.41,in compliance,69176.884,2030.0,,,,,,,,,1.0,1.0
1103,101657,105402300.0,carlton wharf condo trust,113 sumner st,113 sumner st,113 sumner st,,2128.0,113 sumner st,boston,2128,21275.0,,Multifamily Housing,Multifamily Housing (21275.0),135.1,17.0,2874493.504,2275800.1,120867.743,175467.0,35995.3,,,,,,,,,,,,,,,,,,,,,,56.18,in compliance,156863.043,2025.0,Yes,No,No,No,Yes,Yes,,,1.0,1.0
1790,102673,105403000.0,,99-111 sumner st,99,111 sumner st,,2128.0,99  111 sumner st,boston,2128,128944.0,30543.0,Multifamily Housing,"Multifamily Housing (128944.0),Parking (30543.0)",44.2,91.0,5697889.552,2966000.1,157524.265,800671.0,164249.649,,,,,,,,,,,,,,,,,,,,,,15.95,in compliance,321773.914,2025.0,Yes,No,No,No,Yes,Yes,,,0.0,2.0
2180,103175,105410000.0,gegc 2 new street llc,6-26 new st,6,26 new st,,2128.0,2  26 new st,boston,2128,293648.0,,Multifamily Housing,"Multifamily Housing (293648.0),Swimming Pool (0.0)",42.7,85.0,12529209.46,6288275.9,333970.333,1829113.0,375224.241,,,,,,,,,,,,,,,,,,,,,,24.38,in compliance,709194.574,2025.0,I'm not sure,No,No,No,I'm not sure,I'm not sure,,,0.0,2.0
4224,106257,105413010.0,,126 border st,126 border st,126 border st,,2128.0,126 border st,boston,2128,203508.0,,Multifamily Housing,Multifamily Housing (203508.0),37.8,97.0,7698447.996,4199500.0,223035.445,1025483.0,210367.583,,,,,,,,,,,,,,,,,,,,,,23.89,in compliance,433403.028,2025.0,No,No,No,No,No,No,,,0.0,0.0
1670,102504,105590100.0,coppersmith village rental,75  109 border st,75  109 border st,75-109 Border St,,2128.0,75  109 border st,boston,2128,74868.0,,Multifamily Housing,Multifamily Housing (74868.0),46.0,83.0,3443677.172,1725800.0,91657.238,503481.0,103284.092,,,,,,,,,,,,,,,,,,,,,,26.61,in compliance,194941.33,2025.0,No,No,No,No,No,No,,,1.0,1.0
2735,104143,105744000.0,lyman school limited,30 gove st,30 gove st,30 gove st,,2128.0,30 gove st,boston,2128,41373.0,,Multifamily Housing,Multifamily Housing (41373.0),59.6,81.0,2465433.264,1829361.4,97157.384,186422.0,38242.609,,,,,,,,,,,,,,,,,,,,,,34.34,in compliance,135399.993,2025.0,No,Yes,No,No,No,No,,,0.0,0.0
4131,106117,105937000.0,,250 meridian st,250 meridian st,250 meridian st,,2128.0,248  270 meridian st,boston,2128,71263.0,14647.0,Multifamily Housing,"Multifamily Housing (60000.0),Parking (14647.0),Retail Store (5435.0),Other (5828.0)",38.7,95.0,2761105.136,915800.0,48638.138,540828.0,110945.456,,,,,,,,,,,,,,,,,,,,,,19.74,in compliance,159583.594,2025.0,I'm not sure,No,No,No,I'm not sure,I'm not sure,,,0.0,2.0
389,100540,105980000.0,barnes school lim partner,127 marion st,127 marion st,127 marion st,,2128.0,marion st,boston,2128,105762.0,,Multifamily Housing,Multifamily Housing (105762.0),46.5,45.0,4919185.026,3093558.6,164298.897,535060.5,109762.311,,,,,,,,,,,,,,,,,,,,,,14.48,in compliance,274061.208,2025.0,No,Yes,No,No,No,No,,,0.0,2.0
3470,105137,200136010.0,polk street development llc,30 polk st,30 polk st,30 polk st,,2129.0,30 polk st,boston,2129,33112.0,8278.0,Multifamily Housing,"Multifamily Housing (33112.0),Parking (8278.0)",31.0,100.0,1027024.737,515800.0,27394.138,149831.4,30736.413,,,,,,,,,,,,,,,,,,,,,,14.26,in compliance,58130.551,2030.0,No,No,No,No,No,No,,,0.0,2.0
1248,101837,200149000.0,city of boston,10-18 carney ct,10,18 carney ct,,2129.0,polk st,boston,2129,21114.0,,Multifamily Housing,Multifamily Housing (21114.0),105.2,,2220145.948,1667900.1,88582.174,161854.0,33202.73,,,,,,,,,,,,,,,,,,,,,,113.69,in compliance,121784.904,2025.0,No,No,No,No,No,No,,,0.0,2.0
1250,101839,200149000.0,city of boston,25-41 carney ct,25,41 carney ct,,2129.0,polk st,boston,2129,21114.0,,Multifamily Housing,Multifamily Housing (21114.0),103.4,,2183552.248,1667900.1,88582.174,151129.0,31002.603,,,,,,,,,,,,,,,,,,,,,,73.13,in compliance,119584.777,2025.0,No,No,No,No,No,No,,,0.0,2.0
1252,101841,200149000.0,city of boston,76-92 monument st,76,92 monument st,,2129.0,polk st,boston,2129,21114.0,,Multifamily Housing,Multifamily Housing (21114.0),103.4,7.0,2183664.844,1667900.1,88582.174,151162.0,31009.373,,,,,,,,,,,,,,,,,,,,,,44.07,in compliance,119591.547,2025.0,No,No,No,No,No,No,,,0.0,2.0
1253,101842,200149000.0,city of boston,17-33 polk st,17,33 polk st,,2129.0,polk st,boston,2129,21114.0,,Multifamily Housing,Multifamily Housing (21114.0),105.2,,2220145.948,1667900.1,88582.174,161854.0,33202.73,,,,,,,,,,,,,,,,,,,,,,28.75,in compliance,121784.904,2025.0,No,No,No,No,No,No,,,0.0,2.0
1254,101843,200149000.0,city of boston,41-57 polk st,41,57 polk st,,2129.0,polk st,boston,2129,20043.0,,Multifamily Housing,Multifamily Housing (20043.0),103.4,6.0,2072502.48,1582999.9,84073.125,143465.0,29430.41,,,,,,,,,,,,,,,,,,,,,,41.68,in compliance,113503.535,2025.0,No,No,No,No,No,No,,,0.0,2.0
1256,101845,200149000.0,city of boston,81-97 polk st,81,97 polk st,,2129.0,polk st,boston,2129,20781.0,,Multifamily Housing,Multifamily Housing (20781.0),103.4,,2148727.976,1641199.8,87164.121,148748.0,30514.165,,,,,,,,,,,,,,,,,,,,,,44.33,in compliance,117678.286,2025.0,No,No,No,No,No,No,,,0.0,2.0
1257,101846,200149000.0,city of boston,137-153 bunker hill st,137,153 bunker hill st,,2129.0,polk st,boston,2129,21114.0,,Multifamily Housing,Multifamily Housing (21114.0),106.5,,2248076.58,1667900.1,88582.174,170040.0,34882.006,,,,,,,,,,,,,,,,,,,,,,113.69,in compliance,123464.18,2025.0,No,No,No,No,No,No,,,0.0,2.0
1258,101847,200149000.0,city of boston,161-177 bunker hill st,161,177 bunker hill st,,2129.0,polk st,boston,2129,21114.0,,Multifamily Housing,Multifamily Housing (21114.0),106.5,,2248076.58,1667900.1,88582.174,170040.0,34882.006,,,,,,,,,,,,,,,,,,,,,,113.69,in compliance,123464.18,2025.0,No,No,No,No,No,No,,,0.0,2.0
1259,101848,200151000.0,city of boston,10-18 mcnulty ct,10,18 mcnulty ct,,2129.0,monument st,boston,2129,20532.0,,Multifamily Housing,Multifamily Housing (20532.0),104.7,,2148865.444,1621499.9,86117.86,154562.0,31706.849,,,,,,,,,,,,,,,,,,,,,,86.59,in compliance,117824.709,2025.0,No,No,No,No,No,No,,,0.0,2.0
1260,101849,200151000.0,city of boston,33-41 mcnulty ct,33,41 mcnulty ct,,2129.0,monument st,boston,2129,20532.0,,Multifamily Housing,Multifamily Housing (20532.0),112.2,,2304524.296,1621499.9,86117.86,200183.0,41065.541,,,,,,,,,,,,,,,,,,,,,,18.77,in compliance,127183.401,2025.0,No,No,No,No,No,No,,,0.0,2.0
1261,101850,200151000.0,city of boston,1-17 mcnulty ct,1,17 mcnulty ct,,2129.0,monument st,boston,2129,25701.0,,Multifamily Housing,Multifamily Housing (25701.0),104.8,,2693064.848,2032999.8,107972.619,193454.0,39685.154,,,,,,,,,,,,,,,,,,,,,,86.58,in compliance,147657.773,2025.0,No,No,No,No,No,No,,,0.0,2.0
1262,101851,200151000.0,city of boston,34-42 mcnulty ct,34,42 mcnulty ct,,2129.0,monument st,boston,2129,20532.0,,Multifamily Housing,Multifamily Housing (20532.0),112.2,,2304524.296,1621499.9,86117.86,200183.0,41065.541,,,,,,,,,,,,,,,,,,,,,,143.23,in compliance,127183.401,2025.0,No,No,No,No,No,No,,,0.0,2.0
1263,101852,200151000.0,city of boston,53-61 monument st,53,61 monument st,,2129.0,monument st,boston,2129,20532.0,,Multifamily Housing,Multifamily Housing (20532.0),100.7,,2068424.132,1621499.9,86117.86,130986.0,26870.468,,,,,,,,,,,,,,,,,,,,,,29.42,in compliance,112988.328,2025.0,No,No,No,No,No,No,,,0.0,2.0
1264,101853,200151000.0,city of boston,42-50 tufts st,42,50 tufts st,,2129.0,monument st,boston,2129,20532.0,,Multifamily Housing,Multifamily Housing (20532.0),115.5,,2371562.072,1683000.0,89384.13,201806.0,41398.483,,,,,,,,,,,,,,,,,,,,,,89.85,in compliance,130782.613,2025.0,No,No,No,No,No,No,,,0.0,2.0
1265,101854,200151000.0,city of boston,34-42 o'meara ct,34,42 o'meara ct,,2129.0,monument st,boston,2129,20532.0,,Multifamily Housing,Multifamily Housing (20532.0),103.0,,2115820.224,1621499.9,86117.86,144877.0,29720.068,,,,,,,,,,,,,,,,,,,,,,90.97,in compliance,115837.928,2025.0,No,No,No,No,No,No,,,0.0,2.0
1266,101855,200151000.0,city of boston,77-85 monument st,77,85 monument st,,2129.0,monument st,boston,2129,20532.0,,Multifamily Housing,Multifamily Housing (20532.0),103.0,,2115820.224,1621499.9,86117.86,144877.0,29720.068,,,,,,,,,,,,,,,,,,,,,,21.77,in compliance,115837.928,2025.0,No,No,No,No,No,No,,,0.0,2.0
1267,101856,200151000.0,city of boston,10-26 tufts st,10,26 tufts st,,2129.0,monument st,boston,2129,20532.0,,Multifamily Housing,Multifamily Housing (20532.0),104.7,,2148804.028,1621499.9,86117.86,154544.0,31703.156,,,,,,,,,,,,,,,,,,,,,,113.39,in compliance,117821.016,2025.0,No,No,No,No,No,No,,,0.0,2.0
1268,101857,200151000.0,city of boston,9-17 o'meara ct,9,17 o'meara ct,,2129.0,monument st,boston,2129,20532.0,,Multifamily Housing,Multifamily Housing (20532.0),100.7,,2068502.608,1621499.9,86117.86,131009.0,26875.186,,,,,,,,,,,,,,,,,,,,,,54.91,in compliance,112993.046,2025.0,No,No,No,No,No,No,,,0.0,2.0
1269,101858,200151000.0,city of boston,10-18 o'meara ct,10,18 o'meara ct,,2129.0,monument st,boston,2129,20532.0,,Multifamily Housing,Multifamily Housing (20532.0),100.7,,2068424.132,1621499.9,86117.86,130986.0,26870.468,,,,,,,,,,,,,,,,,,,,,,54.91,in compliance,112988.328,2025.0,No,No,No,No,No,No,,,0.0,2.0
1270,101859,200151000.0,city of boston,33-41 o'meara ct,33,41 o'meara ct,,2129.0,monument st,boston,2129,20532.0,,Multifamily Housing,Multifamily Housing (20532.0),103.1,,2115850.932,1621499.9,86117.86,144886.0,29721.914,,,,,,,,,,,,,,,,,,,,,,39.96,in compliance,115839.774,2025.0,No,No,No,No,No,No,,,0.0,2.0
1271,101860,200151000.0,city of boston,89-105 bunker hill st,89,105 bunker hill st,,2129.0,monument st,boston,2129,21114.0,,Multifamily Housing,Multifamily Housing (21114.0),103.3,,2180416.62,1667900.1,88582.174,150210.0,30814.079,,,,,,,,,,,,,,,,,,,,,,86.58,in compliance,119396.253,2025.0,No,No,No,No,No,No,,,0.0,2.0
1272,101861,200151000.0,city of boston,113-129 bunker hill st,113,129 bunker hill st,,2129.0,monument st,boston,2129,21114.0,,Multifamily Housing,Multifamily Housing (21114.0),100.8,,2127493.088,1667900.1,88582.174,134699.0,27632.153,,,,,,,,,,,,,,,,,,,,,,54.91,in compliance,116214.327,2025.0,No,No,No,No,No,No,,,0.0,0.0
1273,101862,200151000.0,city of boston,65-81 bunker hill st,65,81 bunker hill st,,2129.0,monument st,boston,2129,21114.0,,Multifamily Housing,Multifamily Housing (21114.0),103.3,,2180416.62,1667900.1,88582.174,150210.0,30814.079,,,,,,,,,,,,,,,,,,,,,,86.58,in compliance,119396.253,2025.0,No,No,No,No,No,No,,,0.0,2.0
1274,101864,200152000.0,city of boston,40-48 corey st,40,48 corey st,,2129.0,tufts st,boston,2129,20532.0,,Multifamily Housing,Multifamily Housing (20532.0),80.5,,1652600.28,1621499.9,86117.86,9115.0,1869.851,,,,,,,,,,,,,,,,,,,,,,35.9,in compliance,87987.711,2025.0,No,No,No,No,No,No,,,0.0,2.0
1276,101866,200152000.0,city of boston,45-53 tufts st,45,53 tufts st,,2129.0,tufts st,boston,2129,20532.0,,Multifamily Housing,Multifamily Housing (20532.0),55.5,,1139038.276,1124800.0,59738.128,4173.0,856.049,,,,,,,,,,,,,,,,,,,,,,0.0,in compliance,60594.177,2025.0,No,No,No,No,No,No,,,0.0,2.0
1278,101868,200156000.0,city of boston,82-98 decatur st,82,98 decatur st,,2129.0,corey st,boston,2129,26925.0,,Multifamily Housing,Multifamily Housing (26925.0),108.5,4.0,2921031.968,2211800.0,117468.698,207864.0,42641.221,,,,,,,,,,,,,,,,,,,,,,80.96,in compliance,160109.919,2025.0,No,No,No,No,No,No,,,0.0,2.0
1279,101870,200156000.0,city of boston,50-58 o'brien ct,50,58 o'brien ct,,2129.0,corey st,boston,2129,20532.0,,Multifamily Housing,Multifamily Housing (20532.0),105.0,,2156760.812,1621499.9,86117.86,156876.0,32181.543,,,,,,,,,,,,,,,,,,,,,,94.75,in compliance,118299.403,2025.0,No,No,No,No,No,No,,,0.0,2.0
1280,101871,200156000.0,city of boston,26-34 o'brien ct,26,34 o'brien ct,,2129.0,corey st,boston,2129,20532.0,,Multifamily Housing,Multifamily Housing (20532.0),105.0,,2156760.812,1621499.9,86117.86,156876.0,32181.543,,,,,,,,,,,,,,,,,,,,,,35.81,in compliance,118299.403,2025.0,No,No,No,No,No,No,,,0.0,0.0
1281,101872,200156000.0,city of boston,41-49 starr king ct,41,49 starr king ct,,2129.0,corey st,boston,2129,20532.0,,Multifamily Housing,Multifamily Housing (20532.0),107.6,,2208674.392,1621499.9,86117.86,172091.0,35302.748,,,,,,,,,,,,,,,,,,,,,,137.55,in compliance,121420.608,2025.0,No,No,No,No,No,No,,,0.0,0.0
1283,101874,200156000.0,city of boston,50-66 medford st,50,66 medford st,,2129.0,corey st,boston,2129,21222.0,,Multifamily Housing,Multifamily Housing (21222.0),107.6,,2283898.112,1676899.9,89060.154,177901.0,36494.611,,,,,,,,,,,,,,,,,,,,,,29.06,in compliance,125554.765,2025.0,No,No,No,No,No,No,,,0.0,0.0
4610,106791,200596000.0,young jacob f iii ts,105 high st,105 high st,105 high st,,2129.0,105  107 high st,boston,2129,23170.0,,Multifamily Housing,Multifamily Housing (23170.0),45.8,,1060679.228,851800.0,45239.098,61219.0,12558.466,,,,,,,,,,,,,,,,,,,,,,22.21,in compliance,57797.564,2030.0,I'm not sure,No,No,No,I'm not sure,I'm not sure,,,1.0,1.0
1764,102640,200824000.0,,342 bunker hill st,342 bunker hill st,342 bunker hill st,,2129.0,340 bunker hill st,boston,2129,39500.0,,Multifamily Housing,Multifamily Housing (39500.0),45.8,95.0,1809880.36,1190500.0,63227.455,181530.0,37239.064,,,,,,,,,,,,,,,,,,,,,,39.55,in compliance,100466.519,2030.0,No,No,No,No,No,No,,,1.0,1.0
1149,101719,201186050.0,charlestown battalion armory,374-398 bunker hill st,374,398 bunker hill st,,2129.0,374  398 bunker hill st,boston,2129,56635.0,30240.0,Multifamily Housing,"Multifamily Housing (56635.0),Parking (30240.0)",37.4,98.0,2117365.204,989300.0,52541.723,330617.0,67822.771,,,,,,,,,,,,,,,,,,,,,,22.31,in compliance,120364.494,2025.0,No,No,No,No,No,No,,,1.0,1.0
2569,103942,201912010.0,john hancock life insurance,30 caldwell st,30 caldwell st,30 caldwell st,,2129.0,48  52 brighton st,boston,2129,152798.0,0.0,Multifamily Housing,"Multifamily Housing (152798.0),Parking (73042.0)",45.0,80.0,6883178.54,3532441.0,187607.942,982045.0,201456.711,,,,,,,,,,,,,,,,,,,,,,25.73,in compliance,389064.653,2025.0,No,No,No,No,No,No,,,0.0,0.0
88,100120,202160000.0,32 cambridge street llc,34 cambridge st,34 cambridge st,34 cambridge st,,2129.0,572 rutherford av,boston,2129,141620.0,0.0,Multifamily Housing,"Multifamily Housing (141620.0),Parking (34800.0)",39.2,73.0,5552299.976,1359300.0,72192.423,1228898.0,252096.136,,,,,,,,,,,,,,,,,,,,,,28.15,in compliance,324288.559,2025.0,I'm not sure,No,No,No,I'm not sure,I'm not sure,,,0.0,2.0
2469,103790,202161000.0,hood park llc mass llc,50 hood park dr,50 hood park dr,50 hood park dr,,2129.0,480  570 rutherford av,boston,2129,160647.0,,Multifamily Housing,Multifamily Housing (160647.0),41.8,97.0,6709743.486,4254841.9,225974.653,719490.5,147596.281,,,,,,,,,,,,,,,,,,,,,,2.13,pending revisions,373570.934,2025.0,No,No,No,No,No,No,,,1.0,1.0
2962,104437,202315000.0,mishawum park tenants assoc,216-232 main st,216,232 main st,,2129.0,main st,boston,2129,20689.0,,Multifamily Housing,Multifamily Housing (20689.0),44.8,,927102.3128,749957.3,39830.232,72054.4,14781.24,68704.6,,,,,,,,,,,,,,,,,,,,,56.56,in compliance,54611.472,2030.0,No,No,No,No,No,No,,,0.0,2.0
2960,104435,202350000.0,,9 w school st,9 w school st,9 w school st,,2129.0,9 w school st,boston,2129,43081.0,,Multifamily Housing,Multifamily Housing (43081.0),50.0,73.0,2154222.382,1433436.7,76129.823,211250.2,43335.866,,,,,,,,,,,,,,,,,,,,,,6.5,in compliance,119465.689,2025.0,No,No,No,No,No,No,,,0.0,0.0
488,100702,202360000.0,bmirf gatehouse llc,75 w school st,75 w school st,,,2129.0,75 w school st,boston,2129,117921.0,22248.0,Multifamily Housing,"Multifamily Housing (117921.0),Parking (28242.0)",41.8,92.0,4929769.524,2186600.0,116130.326,803977.0,164927.842,,,,,,,,,,,,,,,,,,,,,,24.01,in compliance,281058.168,2025.0,I'm not sure,No,No,No,I'm not sure,I'm not sure,,,0.0,2.0
2965,104440,202370000.0,mishawum park tenants assoc,2-60 dunstable st,2,60 dunstable st,,2129.0,rutherford av,boston,2129,53548.0,,Multifamily Housing,Multifamily Housing (53548.0),52.2,89.0,2793096.382,1941066.0,103090.015,286721.8,58818.11,126264.4,,,,,,,,,,,,,,,,,,,,,44.67,in compliance,161908.125,2025.0,No,No,No,No,No,No,,,0.0,2.0
2969,104444,202390000.0,mishawum park tenants assoc,65-91 dunstable st,65,91 dunstable st,,2129.0,main st,boston,2129,25557.0,,Multifamily Housing,Multifamily Housing (25557.0),54.5,83.0,1392932.339,926417.8,49202.049,148291.6,30420.539,39456.4,,,,,,,,,,,,,,,,,,,,,51.0,in compliance,79622.588,2025.0,No,No,No,No,No,No,,,0.0,0.0
2970,104445,202390000.0,mishawum park tenants assoc,3-59 dunstable st,3,59 dunstable st,,2129.0,main st,boston,2129,45029.0,,Multifamily Housing,Multifamily Housing (45029.0),50.9,91.0,2291562.584,1632260.1,86689.334,225608.7,46281.369,110474.4,,,,,,,,,,,,,,,,,,,,,60.6,in compliance,132970.703,2025.0,No,No,No,No,No,No,,,0.0,0.0
