_id,BERDO ID,Tax Parcel ID,Property Owner Name,Building Address,Geospatial Address,Geospatial Address.1,Building Address City,Building Address Zip  Code,Parcel Address,Parcel Address City,Parcel Address Zip Code,Reported Gross Floor Area (Sq Ft),Reported Enclosed Parking Area (Sq Ft),Largest Property Type,All Property Types and GFAs,Site EUI (Energy Use Intensity kBtu/ft2),Energy Star Score,Total Site Energy Usage (kBtu),Natural Gas Usage (kBtu),Natural Gas Emissions (kgCO2e),Electricity Usage (kWh),Electricity Emissions (kgCO2e),Renewable System Electricity Usage Onsite (kBtu),District Hot Water Usage (kBtu),District Hot Water Emissions (kgCO2e),District Chilled Water Usage (kBtu),District Chilled Water Emissions (kgCO2e),District Steam Usage (kBtu),District Steam Emissions (kgCO2e),Fuel Oil 1 Usage (kBtu),Fuel Oil 1 Emissions (kgCO2e),Fuel Oil 2 Usage (kBtu),Fuel Oil 2 Emissions (kgCO2e),Fuel Oil 4 Usage (kBtu),Fuel Oil 4 Emissions (kgCO2e),Fuel Oil 5 and 6 Usage (kBtu),Fuel Oil 5 and 6 Emissions (kgCO2e),Propane Usage (kBtu),Propane Emissions (kgCO2e),Diesel Usage (kBtu),Diesel Emissions (kgCO2e),Kerosene Usage (kBtu),Kerosene Emissions (kgCO2e),Water Usage Intensity (Gallons/ft2),Compliance Status,Estimated Total GHG Emissions (kgCO2e),First Emissions Compliance Year (Projected),Community Choice Electricity Participation,Renewable Energy Purchased through a Power Purchase Agreement (,Renewable Energy Certificate (REC) Purchase,Backup Generator,Battery Storage,Electric Vehicle (EV) Charging,Corresponding Campus ID,Notes,Cluster_2,Cluster_3
125,100172,801108000.0,,46-76 wareham st,46,76 wareham st,,2118.0,46 wareham st,boston,2118,56112.0,13540.0,Multifamily Housing,"Multifamily Housing (56112.0),Parking (13540.0)",49.1,,2757075.8,1196427.0,63542.238,457400.0,93831.036,,,,,,,,,,,,,,,,,,,,,,11.52,in compliance,157373.274,2030.0,No,No,No,No,No,No,,,0.0,2.0
4316,106366,801132010.0,,27 wareham st,27 wareham st,27 wareham st,,2118.0,27 wareham st,boston,2118,34029.0,,Multifamily Housing,Multifamily Housing (34029.0),66.4,53.0,2259242.5,1376814.0,73122.592,258625.0,53054.333,,,,,,,,,,,,,,,,,,,,,,20.63,in compliance,126176.925,2030.0,No,No,No,No,No,No,,,0.0,0.0
2935,104401,801172000.0,,83-93 e dedham st,83,93 e dedham st,,2118.0,100  112 e canton st,boston,2118,280000.0,37000.0,Multifamily Housing,"Multifamily Housing (280000.0),Swimming Pool (0.0),Parking (37000.0)",62.1,50.0,17399150.28,8024373.2,426174.461,2747590.0,563640.613,,,,,,,,,,,,,,,,,,,,,,19.35,in compliance,989815.074,2025.0,No,No,No,No,No,No,,,0.0,2.0
651,100943,801209010.0,,42 harrison archway,42 harrison archway,42 harrison archway,,2118.0,15 msgr reynolds wy,boston,2118,64740.0,,Multifamily Housing,Multifamily Housing (64740.0),46.0,,2976830.08,1363500.0,72415.485,472840.0,96998.398,,,,,,,,,,,,,,,,,,,,,,49.68,in compliance,169413.883,2025.0,No,No,No,No,No,No,,,0.0,2.0
652,100944,801209010.0,,10 e brookline st,10 e brookline st,10 e brookline st,,2118.0,15 msgr reynolds wy,boston,2118,71898.0,,Multifamily Housing,Multifamily Housing (71898.0),63.9,,4594818.736,3490600.0,185385.766,323628.0,66389.048,,,,,,,,,,,,,,,,,,,,,,49.68,in compliance,251774.814,2025.0,No,No,No,No,No,No,,,1.0,2.0
653,100945,801209010.0,,18 e brookline st,18 e brookline st,18 e brookline st,,2118.0,15 msgr reynolds wy,boston,2118,84216.0,,Multifamily Housing,Multifamily Housing (84216.0),68.7,77.0,5781546.1,4473300.0,237576.963,383425.0,78655.805,,,,,,,,,,,,,,,,,,,,,,49.68,in compliance,316232.768,2025.0,No,No,No,No,No,No,,,1.0,1.0
654,100946,801209010.0,,599 harrison ave,599 harrison ave,599 harrison ave,,2118.0,15 msgr reynolds wy,boston,2118,85164.0,,Multifamily Housing,Multifamily Housing (85164.0),34.1,99.0,2904721.092,1471200.0,78135.432,420141.0,86187.725,,,,,,,,,,,,,,,,,,,,,,49.68,in compliance,164323.157,2025.0,No,No,No,No,No,No,,,1.0,2.0
655,100952,801209010.0,boston housing authority,637-651 harrison ave,637,651 harrison ave,,2118.0,15 msgr reynolds wy,boston,2118,74420.0,,Multifamily Housing,Multifamily Housing (74420.0),44.8,100.0,3332570.848,2717800.1,144342.363,180179.0,36961.92,,,,,,,,,,,,,,,,,,,,,,49.68,in compliance,181304.283,2025.0,No,No,No,No,No,No,,,0.0,2.0
656,100953,801209010.0,,623-635 harrison ave,623,635 harrison ave,,2118.0,15 msgr reynolds wy,boston,2118,68570.0,,Multifamily Housing,Multifamily Housing (68570.0),44.6,98.0,3057337.232,2121899.9,112694.104,274161.0,56241.388,,,,,,,,,,,,,,,,,,,,,,49.68,in compliance,168935.492,2025.0,No,No,No,No,No,No,,,0.0,0.0
657,100954,801209010.0,boston housing authority,17 monsignor reynolds way,17 monsignor reynolds way,17 monsignor reynolds way,,2118.0,15 msgr reynolds wy,boston,2118,45402.0,,Multifamily Housing,Multifamily Housing (45402.0),22.8,100.0,1036952.544,271600.0,14424.676,224312.0,46015.364,,,,,,,,,,,,,,,,,,,,,,49.68,in compliance,60440.04,2025.0,No,No,No,No,No,No,,,0.0,2.0
658,100956,801209010.0,,21 monsignor reynolds way,21 monsignor reynolds way,21 monsignor reynolds way,,2118.0,15 msgr reynolds wy,boston,2118,27770.0,,Multifamily Housing,Multifamily Housing (27770.0),81.5,70.0,2262678.07,1988100.1,105587.996,80474.2,16508.477,,,,,,,,,,,,,,,,,,,,,,49.68,in compliance,122096.473,2025.0,No,No,No,No,No,No,,,0.0,2.0
5526,108090,801209020.0,,14 east brookline st,14 east brookline st,14 east brookline st,,2118.0,,,,27770.0,,Multifamily Housing,Multifamily Housing (27770.0),101.9,,2830785.356,1936199.9,102831.577,262188.0,53785.246,,,,,,,,,,,,,,,,,,,,,,49.68,in compliance,156616.823,2025.0,,,,,,,,,1.0,1.0
3807,105684,801212000.0,,700 harrison ave,700 harrison ave,700 harrison ave,,2118.0,700 harrison av,boston,2118,174156.0,,Multifamily Housing,Multifamily Housing (174156.0),40.8,100.0,7098781.94,4188192.4,222434.898,853045.0,174993.651,,,,,,,,,,,,,,,,,,,,,,15.01,in compliance,397428.549,2025.0,No,No,No,No,No,No,,,0.0,2.0
