Reported Gross Floor Area (Sq Ft),Site EUI (Energy Use Intensity kBtu/ft2),Total Site Energy Usage (kBtu),Estimated Total GHG Emissions (kgCO2e),Cluster
31916.189197249438,34.92551636289472,1114692.3213916502,64648.78946404581,0
218474.0839934254,50.78099371301365,11095374.146114144,630056.1373392888,1
59981.3906652332,76.07860626364035,4563580.629096952,258626.51821448182,2
27333.59060258157,75.7228013331871,2069665.1518355776,116368.43353297353,3
65568.35506202941,43.28511980460008,2838104.374563804,161295.70970623847,4
